Carlynton School District,PA,526342,https://www.carlynton.k12.pa.us/,ERROR,java.io.IOException: Underlying input stream returned zero bytes
Carolina Beach,NC,300122,https://www.carolinabeach.org/,NONE,NONE
Carrboro,NC,302362,https://townofcarrboro.org/,ERROR,javax.net.ssl.SSLHandshakeException: Received fatal alert: handshake_failure
Central Valley At Ilion-Mohawk School District,NY,512422,https://www.cvalleycsd.org/,NONE,NONE
Chester,NY,1680,https://www.townofchesterny.org,https://chesterny.cleargov.com/,Link
Chester,NY,1680,https://www.townofchesterny.org/,https://chesterny.cleargov.com/,Link
Chippewa,PA,261242,https://chippewa-twp.org/,ERROR,javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No subject alternative DNS name matching chippewa-twp.org found.
Clarke County Schools,GA,601170,https://www.clarke.k12.ga.us/,ERROR,java.io.IOException: Underlying input stream returned zero bytes
Clinton School District,NY,514012,https://www.ccs.edu/,ERROR,java.io.IOException: Underlying input stream returned zero bytes
Coconut Creek,FL,2512,https://www.coconutcreek.net/,ERROR,java.io.IOException: Underlying input stream returned zero bytes
Cokato,MN,597895,https://www.cokato.mn.us/,ERROR,javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No subject alternative DNS name matching www.cokato.mn.us found.
Commerce City Schools,GA,601264,https://www.commercecityschools.org/,ERROR,javax.net.ssl.SSLHandshakeException: Remote host closed connection during handshake
Concord,MA,550,https://www.concordma.gov/,ERROR,java.io.IOException: Underlying input stream returned zero bytes
Concord Public Schools,MA,412172,https://www.concordps.org/,ERROR,java.net.ConnectException: Connection timed out: connect
Cortland,NY,1779,https://www.cortland.org/,ERROR,java.io.IOException: Underlying input stream returned zero bytes
Covington,WA,600923,https://www.covingtonwa.gov/,NONE,NONE
Cumberland School District,WI,601387,https://www.cumberland.k12.wi.us,NONE,NONE
Davidson,NC,302592,https://www.ci.davidson.nc.us/,ERROR,java.io.IOException: Underlying input stream returned zero bytes
Dayton,TX,371002,https://www.daytontx.gov,NONE,NONE
Decatur,GA,64952,https://www.decaturga.com/,ERROR,java.io.IOException: Underlying input stream returned zero bytes
Dedham Public Schools,MA,412242,https://www.dedham.k12.ma.us/pages/Dedham_Public_Schools,NONE,NONE
Dunlap,IL,587952,https://www.villageofdunlap-il.gov/,ERROR,javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No subject alternative DNS name matching www.villageofdunlap-il.gov found.
Dunwoody,GA,64982,https://www.dunwoodyga.gov/,NONE,NONE
Duxbury,MA,565,https://www.town.duxbury.ma.us/,NONE,NONE
Duxbury Public Schools,MA,412322,https://www.duxbury.k12.ma.us/,ERROR,javax.net.ssl.SSLHandshakeException: Remote host closed connection during handshake
East Bridgewater Public Schools,MA,412332,https://www.ebps.net/,ERROR,javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No subject alternative DNS name matching www.ebps.net found.
East Fallowfield,PA,274142,https://www.eastfallowfield.org,https://eastfallowfield-pa.cleargov.com/2018,Link
East Quogue School District,NY,516342,https://www.eastquogue.k12.ny.us/,NONE,NONE
East Rockaway School District,NY,513192,https://www.eastrockawayschools.org/,NONE,NONE
Easton,MA,571,https://www.easton.ma.us/,NONE,NONE
Easton Public Schools,MA,412382,https://www.easton.k12.ma.us/,ERROR,javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No name matching www.easton.k12.ma.us found
Elgin,IL,579762,https://www.cityofelgin.org/,ERROR,java.net.ConnectException: Connection timed out: connect
Esopus,NY,1660,https://www.esopus.com/,NONE,NONE
Fort Myers Beach,FL,2962,https://www.fortmyersbeachfl.gov/,ERROR,java.io.IOException: Underlying input stream returned zero bytes
Fort Pierce,FL,2972,https://www.cityoffortpierce.com/,ERROR,java.io.IOException: Underlying input stream returned zero bytes
Framingham,MA,583,https://www.framinghamma.gov/,ERROR,java.io.IOException: Too many redirects occurred trying to load URL http://ma-framingham3.civicplus.com/MyAccount?dn=www.framinghamma.gov
Framingham Public Schools,MA,412502,https://www.framingham.k12.ma.us/,ERROR,java.io.IOException: Underlying input stream returned zero bytes
Gardner Public Schools,MA,412542,https://www.gardnerk12.org/,ERROR,javax.net.ssl.SSLHandshakeException: Received fatal alert: handshake_failure
Gateway Regional School District,MA,415952,https://www.grsd.org/,ERROR,java.net.ConnectException: Connection refused: connect
Georgetown,MA,587,https://www.georgetownma.gov/,ERROR,java.io.IOException: Underlying input stream returned zero bytes
Georgetown Public Schools,MA,412552,https://www.gssapp.org/GeorgetownPublicSchools/,NONE,NONE
Gill Montague Regional School District,MA,415962,https://www.gmrsd.org/,ERROR,javax.net.ssl.SSLProtocolException: handshake alert:  unrecognized_name
Gloucester,MA,589,https://gloucester-ma.gov/,NONE,NONE
Greater Lawrence Technical High School,MA,416392,https://greaterlawrencets.schoolinsites.com/,NONE,NONE
Groton Dunstable Regional School District,MA,415942,https://www.gdrsd.org/,ERROR,javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No subject alternative DNS name matching www.gdrsd.org found.
Guilford,CT,27202,https://www.ci.guilford.ct.us/,ERROR,java.net.ConnectException: Connection timed out: connect
Haldane School District,NY,514872,https://www.haldaneschool.org/,ERROR,java.io.IOException: Underlying input stream returned zero bytes
Hanover Public Schools,MA,412712,https://hanoverschools.org/,NONE,NONE
Hanson,MA,605,https://www.hanson-ma.gov/,NONE,NONE
Hardwick,MA,606,https://www.townofhardwick.com/,NONE,NONE
Haverhill,MA,610,https://www.ci.haverhill.ma.us/,ERROR,java.net.SocketException: Connection reset
Hayden,CO,92342,https://haydencolorado.org/,ERROR,javax.net.ssl.SSLHandshakeException: Received fatal alert: handshake_failure
Hempstead,NY,1318,https://hempsteadny.gov/,ERROR,java.io.IOException: Underlying input stream returned zero bytes
Holland,MA,617,https://town.holland.ma.us/,NONE,NONE
Holliston,MA,618,https://www.townofholliston.us,https://www.cleargov.com/massachusetts/middlesex/town/holliston/2017,Link
Holliston Public Schools,MA,412862,https://www.holliston.k12.ma.us/,ERROR,javax.net.ssl.SSLHandshakeException: Remote host closed connection during handshake
Holly Ridge,NC,304472,https://townofhollyridge.net/,ERROR,javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No subject alternative DNS name matching townofhollyridge.net found.
Hope Mills,NC,303922,https://www.townofhopemills.com/,ERROR,java.io.IOException: Underlying input stream returned zero bytes
Hopkinton,MA,621,https://www.hopkintonma.gov/,ERROR,javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No name matching www.hopkintonma.gov found
Hubbardston,MA,622,https://www.hubbardstonma.us/,NONE,NONE
Ipswich Public Schools,MA,412942,https://www.ipsk12.net/,ERROR,java.io.IOException: Underlying input stream returned zero bytes
Jaffrey,NH,154942,https://www.townofjaffrey.com,https://www.cleargov.com/new-hampshire/cheshire/town/jaffrey,Link
Jaffrey,NH,154942,https://www.townofjaffrey.com/,https://www.cleargov.com/new-hampshire/cheshire/town/jaffrey,Link
Jenkintown,PA,244492,https://jenkintownboro.com/,ERROR,java.net.ConnectException: Connection timed out: connect
Katy,TX,368982,https://www.cityofkaty.com,ERROR,javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No subject alternative DNS name matching www.cityofkaty.com found.
Key Colony Beach,FL,3652,https://keycolonybeach.net/,NONE,NONE
Kickapoo Area School District,WI,601481,https://www.kickapoo.k12.wi.us,NONE,NONE
Lake Clarke Shores,FL,3762,https://www.townoflakeclarkeshores.com/,ERROR,javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No subject alternative DNS name matching www.townoflakeclarkeshores.com found.
Lanesborough,MA,630,https://www.lanesborough-ma.gov//index.asp?SEC=A952632F-2143-4DFE-8B8A-743BF855DAC2&DE=49401DC6-D7C5-433B-9E19-6EC48B55DCC2&Type=B_BASIC,https://www.cleargov.com/massachusetts/berkshire/town/lanesborough/2019,Link
Lawrence,MA,631,https://www.cityoflawrence.com/,ERROR,java.io.IOException: Underlying input stream returned zero bytes
Lemont,IL,572662,https://www.lemont.il.us/,ERROR,javax.net.ssl.SSLHandshakeException: Received fatal alert: handshake_failure
Leominster Public Schools,MA,413032,https://www.leominster.mec.edu/,NONE,NONE
Levittown School District,NY,513052,https://www.levittownschools.com/,ERROR,java.net.ConnectException: Connection refused: connect
Lincoln,MA,639,https://www.lincolntown.org/,NONE,NONE
Lincoln Sudbury Regional High School,MA,416022,https://www.lsrhs.net/,ERROR,java.io.IOException: Underlying input stream returned zero bytes
Lincolnton,NC,303762,https://www.ci.lincolnton.nc.us/,ERROR,java.io.IOException: Underlying input stream returned zero bytes
Locust,NC,297292,https://locustnc.com/,NONE,NONE
Locust Grove,GA,69162,https://www.locustgrove-ga.gov/,NONE,NONE
Loomis,CA,237,https://loomis.ca.gov/,NONE,NONE
Lowell,MA,642,https://www.lowellma.gov/,ERROR,java.io.IOException: Underlying input stream returned zero bytes
Lowell Public Schools,MA,413102,https://www.lowell.k12.ma.us/,ERROR,java.io.IOException: Underlying input stream returned zero bytes
Lower Merion,PA,244572,https://www.lowermerion.org/,ERROR,java.io.IOException: Underlying input stream returned zero bytes
Lunenburg,MA,644,https://www.lunenburgma.gov/,ERROR,java.io.IOException: Underlying input stream returned zero bytes
Madeira Beach,FL,4032,https://madeirabeachfl.gov/,ERROR,java.io.IOException: Underlying input stream returned zero bytes
Manchester Essex Regional School District,MA,416042,https://www.mersd.org/,ERROR,java.io.IOException: Underlying input stream returned zero bytes
Manchester-by-the-sea,MA,439352,https://www.manchester.ma.us/,ERROR,javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No name matching www.usa.safekids.org found
