"Bridgewater Raynham Regional School District","MA","415822","https://www.bridge-rayn.org/","ERROR","javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No subject alternative DNS name matching www.bridge-rayn.org found.","1"
"Brockton","MA","527","https://www.brockton.ma.us/","NONE","NONE","1"
"Brookline","MA","529","https://www.brooklinema.gov/","NONE","NONE","4562"
"Brookline Public Schools","MA","411962","https://www.brookline.k12.ma.us/","NONE","NONE","2095"
"Brunswick (Brittonkill) School District","NY","514922","https://www.brunswickcsd.org/","ERROR","javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No name matching www.brunswickcsd.org found","1"
"Burlington","WI","356512","https://www.burlington-wi.gov/","ERROR","javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target","1289"
"Canton Public Schools","MA","412002","https://www.cantonma.org/pages/CantonPublicSchools","NONE","NONE","1"
"Carlisle","MA","534","https://www.carlislema.gov/","NONE","NONE","1237"
"Carlynton School District","PA","526342","https://www.carlynton.k12.pa.us/","NONE","NONE","760"
"Carolina Beach","NC","300122","https://www.carolinabeach.org/","NONE","NONE","2"
"Carrboro","NC","302362","https://townofcarrboro.org/","NONE","NONE","2849"
"Central Valley At Ilion-Mohawk School District","NY","512422","https://www.cvalleycsd.org/","NONE","NONE","1681"
"Chester","NY","1680","https://www.townofchesterny.org","https://chesterny.cleargov.com/","Link","30"
"Chester","NY","1680","https://www.townofchesterny.org/","https://chesterny.cleargov.com/","Link","30"
"Chippewa","PA","261242","https://chippewa-twp.org/","ERROR","javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No subject alternative DNS name matching chippewa-twp.org found.","1"
"Clarke County Schools","GA","601170","https://www.clarke.k12.ga.us/","NONE","NONE","1793"
"Clinton School District","NY","514012","https://www.ccs.edu/","NONE","NONE","1287"
"Coconut Creek","FL","2512","https://www.coconutcreek.net/","NONE","NONE","164"
"Cokato","MN","597895","https://www.cokato.mn.us/","ERROR","javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No subject alternative DNS name matching www.cokato.mn.us found.","1"
"Commerce City Schools","GA","601264","https://www.commercecityschools.org/","ERROR","javax.net.ssl.SSLHandshakeException: Remote host closed connection during handshake","1"
"Concord","MA","550","https://www.concordma.gov/","ERROR","java.net.ConnectException: Connection timed out: connect","6959"
"Concord Public Schools","MA","412172","https://www.concordps.org/","ERROR","java.net.ConnectException: Connection timed out: connect","1"
"Cortland","NY","1779","https://www.cortland.org/","NONE","NONE","1044"
"Covington","WA","600923","https://www.covingtonwa.gov/","NONE","NONE","2"
"Cumberland School District","WI","601387","https://www.cumberland.k12.wi.us","ERROR","javax.net.ssl.SSLHandshakeException: Remote host closed connection during handshake","87"
"Davidson","NC","302592","https://www.ci.davidson.nc.us/","ERROR","javax.net.ssl.SSLHandshakeException: Remote host closed connection during handshake","1862"
"Dayton","TX","371002","https://www.daytontx.gov","NONE","NONE","1"
"Decatur","GA","64952","https://www.decaturga.com/","NONE","NONE","658"
"Dedham Public Schools","MA","412242","https://www.dedham.k12.ma.us/pages/Dedham_Public_Schools","NONE","NONE","1"
"Dunlap","IL","587952","https://www.villageofdunlap-il.gov/","ERROR","javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No subject alternative DNS name matching www.villageofdunlap-il.gov found.","1"
"Dunwoody","GA","64982","https://www.dunwoodyga.gov/","NONE","NONE","1"
"Duxbury","MA","565","https://www.town.duxbury.ma.us/","NONE","NONE","481"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us/Domain/4","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/1","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/64","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us/domain/931","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/955","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/26","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/921","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/921","https://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/1079","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/32","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/531","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/931","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/911","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/954","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/920","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/958","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/957","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/1021","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/86","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/1074","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/58","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/65","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/80","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/79","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/1072","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/949","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/950","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/628","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/66","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/951","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/948","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/57","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/1022","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/1082","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
