"Davidson","NC","302592","https://www.ci.davidson.nc.us/","NONE","NONE"
"Dayton","TX","371002","https://www.daytontx.gov","NONE","NONE"
"Decatur","GA","64952","https://www.decaturga.com/","NONE","NONE"
"Dedham Public Schools","MA","412242","https://www.dedham.k12.ma.us/pages/Dedham_Public_Schools","NONE","NONE"
"Dunlap","IL","587952","https://www.villageofdunlap-il.gov/","ERROR","javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No subject alternative DNS name matching www.villageofdunlap-il.gov found."
"Dunwoody","GA","64982","https://www.dunwoodyga.gov/","NONE","NONE"
"Duxbury","MA","565","https://www.town.duxbury.ma.us/","NONE","NONE"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link"
"East Bridgewater Public Schools","MA","412332","https://www.ebps.net/","ERROR","javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No subject alternative DNS name matching www.ebps.net found."
"East Fallowfield","PA","274142","https://www.eastfallowfield.org","https://eastfallowfield-pa.cleargov.com/2018","Link"
"East Quogue School District","NY","516342","https://www.eastquogue.k12.ny.us/","NONE","NONE"
"East Rockaway School District","NY","513192","https://www.eastrockawayschools.org/","NONE","NONE"
"Easton","MA","571","https://www.easton.ma.us/","ERROR","java.net.SocketException: Connection reset"
"Easton Public Schools","MA","412382","https://www.easton.k12.ma.us/","ERROR","javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No name matching www.easton.k12.ma.us found"
"Elgin","IL","579762","https://www.cityofelgin.org/","NONE","NONE"
"Esopus","NY","1660","https://www.esopus.com/","NONE","NONE"
"Fort Myers Beach","FL","2962","https://www.fortmyersbeachfl.gov/","NONE","NONE"
"Fort Pierce","FL","2972","https://www.cityoffortpierce.com/","NONE","NONE"
"Framingham","MA","583","https://www.framinghamma.gov/","NONE","NONE"
"Framingham Public Schools","MA","412502","https://www.framingham.k12.ma.us","https://www.cleargov.com/massachusetts/school/framingham","Link"
"Gardner Public Schools","MA","412542","https://www.gardnerk12.org/","NONE","NONE"
"Gateway Regional School District","MA","415952","https://www.grsd.org/","ERROR","java.net.ConnectException: Connection refused: connect"
"Georgetown","MA","587","https://www.georgetownma.gov/","NONE","NONE"
"Georgetown Public Schools","MA","412552","https://www.gssapp.org/GeorgetownPublicSchools/","NONE","NONE"
"Gill Montague Regional School District","MA","415962","https://www.gmrsd.org/","ERROR","javax.net.ssl.SSLProtocolException: handshake alert:  unrecognized_name"
"Gloucester","MA","589","https://gloucester-ma.gov/","NONE","NONE"
"Greater Lawrence Technical High School","MA","416392","https://greaterlawrencets.schoolinsites.com/","NONE","NONE"
"Groton Dunstable Regional School District","MA","415942","https://www.gdrsd.org/","ERROR","javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No subject alternative DNS name matching www.gdrsd.org found."
"Guilford","CT","27202","https://www.ci.guilford.ct.us/","ERROR","java.net.ConnectException: Connection timed out: connect"
"Haldane School District","NY","514872","https://www.haldaneschool.org/","ERROR","java.io.IOException: Underlying input stream returned zero bytes"
"Hanover Public Schools","MA","412712","https://hanoverschools.org/","NONE","NONE"
"Hanson","MA","605","https://www.hanson-ma.gov/","NONE","NONE"
"Hardwick","MA","606","https://www.townofhardwick.com/","NONE","NONE"
"Haverhill","MA","610","https://www.ci.haverhill.ma.us/","ERROR","java.net.SocketException: Connection reset"
"Hayden","CO","92342","https://haydencolorado.org/","ERROR","javax.net.ssl.SSLHandshakeException: Received fatal alert: handshake_failure"
"Hempstead","NY","1318","https://hempsteadny.gov/","ERROR","java.net.ConnectException: Connection timed out: connect"
"Holland","MA","617","https://town.holland.ma.us/","NONE","NONE"
"Holliston","MA","618","https://www.townofholliston.us","https://www.cleargov.com/massachusetts/middlesex/town/holliston/2017","Link"
"Holliston Public Schools","MA","412862","https://www.holliston.k12.ma.us/","ERROR","javax.net.ssl.SSLHandshakeException: Remote host closed connection during handshake"
"Holly Ridge","NC","304472","https://townofhollyridge.net/","ERROR","javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No subject alternative DNS name matching townofhollyridge.net found."
"Hope Mills","NC","303922","https://www.townofhopemills.com/","NONE","NONE"
"Hopkinton","MA","621","https://www.hopkintonma.gov/","ERROR","javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No name matching www.hopkintonma.gov found"
"Hubbardston","MA","622","https://www.hubbardstonma.us/","NONE","NONE"
"Ipswich Public Schools","MA","412942","https://www.ipsk12.net/","NONE","NONE"
